text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
#balancetonporc #MeToo lorsque j'avais 10 ans, je rentrais chez moi comme d'hab lorsqu'une voiture rouge s'est arrêter près de moi,FALSE,0,NA,2017-10-18 23:59:28,FALSE,NA,920801534664773632,NA,<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>,_leias,0,FALSE,FALSE,NA,NA
#BalanceTonPorc Aujourd'hui j'ai passer des frites à ma copines, elle les a toutes faites tombé. J'en avais mangé 1. C'est la 3eme fois #VDM,FALSE,1,NA,2017-10-18 23:59:20,FALSE,NA,920801500388982789,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,EEvanno,0,FALSE,FALSE,NA,NA
#balancetonporc https://t.co/GK4E1X5uox,FALSE,1,NA,2017-10-18 23:58:33,FALSE,NA,920801305953574912,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,GardeLaPch,0,FALSE,FALSE,NA,NA
#balancetonporc  #HimToo https://t.co/VLUQ9tB5lP,FALSE,5,NA,2017-10-18 23:58:22,FALSE,NA,920801257933094912,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,johol69,8,FALSE,FALSE,NA,NA
@GuillaumeWagner tacle @GilRozon https://t.co/606ivmbsgw #respect #balancetonporc,FALSE,0,GuillaumeWagner,2017-10-18 23:55:40,FALSE,NA,920800577893756928,95481096,<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>,Martin_02,0,FALSE,FALSE,NA,NA
#balancetonporc frappe le Québec,FALSE,1,NA,2017-10-18 23:55:17,FALSE,NA,920800481496088577,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Raxmaa,0,FALSE,FALSE,NA,NA
.@RachelDonadio on #BalanceTonPorc—France's version of #MeToo https://t.co/7k7fcCgA39,FALSE,0,NA,2017-10-18 23:54:28,FALSE,NA,920800277124472832,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,josemedinajr,0,FALSE,FALSE,NA,NA
#balancetonporc mdrrrr c le hashtag le plus genant et inconfortable que j'ai vu,FALSE,1,NA,2017-10-18 23:53:49,FALSE,NA,920800116050497536,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,AlexandraMarsta,0,FALSE,FALSE,NA,NA
Haha c'est quoi ce nouveau délire ? #BalanceTonPorc ?! J'ai loupé un épisode...! ������ https://t.co/yK2VP7kiOo,FALSE,0,NA,2017-10-18 23:52:26,FALSE,NA,920799767709360128,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,SpikePointCom,0,FALSE,FALSE,NA,NA
#balancetonporc 
